warehouse_id,date,inbound_volume,outbound_volume,throughput,avg_processing_time_minutes,delays_count,efficiency_score,staff_count,overtime_hours,error_rate,returns_received
WH-14,2025-08-15,129,792,792,24.78,19,87.21,99,76.7,1.06,39
WH-18,2025-01-29,50,627,627,23.87,8,70.46,33,81.1,1.44,23
WH-05,2024-12-19,391,795,795,14.54,6,77.6,27,7.2,4.1,33
WH-14,2024-12-01,267,755,755,19.97,19,77.57,68,20.7,1.25,32
WH-07,2024-07-11,133,399,399,40.99,0,,37,30.8,0.84,6
WH-08,2025-10-29,80,739,739,10.5,4,94.58,79,77.9,2.76,0
WH-15,2025-06-13,116,199,199,37.87,10,71.81,90,25.8,4.49,24
WH-03,2024-09-18,339,709,709,44.82,13,93.31,18,43.2,0.92,42
WH-03,2025-03-28,379,108,108,29.86,0,75.01,100,35.7,1.33,25
WH-10,2025-08-28,180,456,456,39.63,0,91.98,20,54.4,0.37,31
WH-11,2025-04-03,361,185,185,30.68,18,76.63,94,30.0,1.94,38
WH-15,2025-12-16,247,238,238,37.41,2,87.38,47,46.0,0.75,2
WH-15,2025-09-09,277,552,552,14.09,18,83.18,31,59.1,2.94,17
WH-01,2026-02-11,312,677,677,18.14,1,71.23,49,41.8,0.47,13
WH-07,2025-12-12,292,328,328,41.72,17,92.57,19,1.9,0.95,42
WH-04,2024-05-14,216,273,273,27.77,14,79.03,66,29.6,0.45,27
WH-16,2024-11-06,95,206,206,15.69,5,,22,86.7,3.69,10
WH-01,2026-01-18,205,295,295,27.9,15,77.04,95,13.9,4.4,6
WH-11,2024-10-29,246,491,491,28.4,7,97.98,33,53.4,4.23,44
WH-12,2025-05-15,337,223,223,23.89,19,90.39,66,96.0,3.8,3
WH-08,2025-01-13,257,208,208,14.59,13,77.36,42,33.0,2.43,16
WH-19,2024-09-14,237,722,722,44.63,7,90.05,18,19.4,2.35,46
WH-01,2025-09-10,349,740,740,29.74,0,,94,42.7,2.9,44
WH-18,2025-01-06,390,164,164,13.16,10,82.64,66,20.8,0.88,12
WH-14,2024-07-31,315,698,698,39.78,0,78.82,29,6.3,0.9,40
WH-04,2026-02-27,50,142,142,35.47,9,95.65,88,44.7,1.17,38
WH-03,2025-12-30,384,465,465,38.39,0,75.37,37,26.1,2.15,8
WH-02,2025-11-19,349,452,452,25.41,13,71.8,85,80.5,2.9,10
WH-18,2024-05-09,74,604,604,30.54,11,70.99,85,43.2,1.49,1
WH-09,2025-12-20,139,799,799,35.77,10,89.33,87,89.3,3.48,45
WH-15,2025-07-14,320,688,688,18.4,14,91.12,78,16.4,2.11,32
WH-05,2025-03-11,255,797,797,41.27,6,70.35,35,54.0,3.57,31
WH-17,2026-01-23,84,777,777,44.2,0,84.85,91,68.7,3.04,25
WH-12,2025-06-30,331,478,478,34.17,18,76.62,18,62.7,2.22,41
WH-17,2025-09-02,390,717,717,35.83,17,84.3,42,6.2,0.57,8
WH-18,2024-11-25,318,574,574,21.31,17,80.88,13,18.8,2.16,4
WH-06,2026-03-06,380,422,422,31.21,5,92.37,51,2.2,2.17,11
WH-01,2026-02-22,103,501,501,11.58,5,72.36,14,78.6,3.38,20
WH-18,2025-12-28,388,487,487,19.74,10,89.28,96,45.5,2.91,21
WH-13,2026-01-03,337,475,475,23.55,10,86.75,87,7.3,1.54,9
WH-19,2024-07-04,381,599,599,29.46,20,97.93,41,31.7,1.05,50
WH-20,2025-11-15,339,502,502,40.59,14,86.24,40,66.5,3.48,19
WH-02,2024-09-05,252,725,725,30.88,6,84.25,91,51.8,1.2,3
WH-16,2025-02-08,171,140,140,43.64,17,91.25,58,68.6,3.41,40
WH-16,2026-04-12,377,324,324,27.73,3,83.24,91,50.5,4.46,19
WH-02,2026-02-13,346,559,559,13.55,2,82.79,18,32.8,3.76,9
WH-19,2026-04-10,384,462,462,18.0,1,,39,92.5,3.68,3
WH-19,2025-04-17,57,437,437,22.1,1,75.4,65,36.2,1.89,18
WH-01,2025-03-02,257,547,547,25.15,2,74.05,26,54.2,3.71,44
WH-02,2024-10-28,58,471,471,37.56,5,90.07,75,77.3,3.69,1
WH-12,2024-04-17,393,529,2645,40.76,9,94.93,65,51.5,1.91,4
WH-05,2025-04-12,157,183,183,25.17,11,74.74,54,12.0,2.37,25
WH-20,2024-11-20,290,738,738,36.01,5,89.55,47,94.6,1.07,4
WH-02,2025-10-19,301,627,627,34.98,2,76.39,66,43.3,4.23,9
WH-03,2024-05-23,173,535,535,11.56,1,97.49,50,56.1,4.52,7
WH-01,2024-08-28,170,622,622,26.49,6,96.59,54,13.4,4.2,18
WH-11,2026-03-04,371,706,706,39.92,12,83.01,32,85.5,0.68,33
WH-16,2024-08-23,231,421,421,44.93,1,97.5,80,44.9,3.23,6
WH-04,2025-11-16,309,453,453,42.85,9,91.92,48,85.8,1.39,21
WH-07,2025-03-05,173,586,586,19.25,8,70.42,66,42.5,0.05,8
WH-17,2025-10-11,240,356,356,11.79,6,,89,4.8,4.62,46
WH-18,2026-04-04,54,598,598,43.36,4,,47,44.2,3.33,27
WH-14,2024-07-08,269,396,396,31.55,16,73.44,32,37.2,2.67,50
WH-02,2025-05-12,193,323,323,17.19,10,88.31,83,12.9,4.36,1
WH-01,2025-09-28,56,536,536,31.76,20,86.48,33,83.7,1.76,30
WH-03,2024-10-20,185,166,166,26.51,6,,30,5.9,1.05,36
WH-18,2025-10-24,208,677,677,34.64,1,93.38,55,26.3,2.79,18
WH-08,2025-02-14,154,375,375,35.62,8,92.66,91,61.6,3.74,18
WH-07,2024-10-28,326,179,179,42.51,18,71.86,45,66.3,4.72,45
WH-13,2025-03-23,262,244,244,24.12,3,96.14,91,86.8,3.83,12
WH-06,2025-09-07,163,601,601,11.06,1,90.54,79,5.9,3.32,28
WH-02,2026-02-16,366,417,417,15.21,15,77.43,39,26.3,2.94,20
WH-01,2024-08-19,328,220,220,19.29,20,77.96,13,87.5,0.89,40
WH-12,2025-02-07,168,101,101,23.87,1,91.8,56,0.7,4.74,19
WH-02,2025-10-31,313,470,470,21.17,3,86.7,89,39.6,4.29,14
WH-13,2024-12-23,348,790,790,15.88,18,89.06,63,28.3,2.1,50
WH-20,2024-06-05,242,165,165,34.59,13,91.74,18,39.7,0.27,22
WH-12,2024-08-27,103,505,505,20.01,7,78.69,83,4.6,1.29,32
WH-15,2024-09-23,307,176,176,40.29,5,,40,63.0,1.51,9
WH-13,2025-07-20,398,732,3660,17.02,16,87.21,96,31.0,0.31,7
WH-08,2024-05-01,189,350,350,30.3,20,96.85,97,43.5,4.87,38
WH-04,2025-02-25,94,164,164,37.75,18,84.15,97,5.4,2.51,50
WH-09,2025-12-09,309,438,438,11.98,9,78.46,73,9.2,2.7,17
WH-07,2025-09-20,147,601,601,11.6,15,80.72,69,90.3,0.02,6
WH-19,2024-10-25,352,211,211,28.09,3,91.56,81,65.7,4.45,25
WH-11,2025-11-12,290,738,738,24.29,0,86.65,62,8.7,1.1,10
WH-20,2025-11-02,68,693,693,29.75,20,82.77,89,62.1,2.07,16
WH-08,2024-07-15,71,298,298,40.24,7,,38,46.4,0.18,27
WH-10,2026-02-02,304,212,212,11.76,6,92.22,17,71.2,4.97,45
WH-19,2025-04-22,344,274,274,34.97,8,80.14,87,48.7,3.22,32
WH-07,2024-09-19,352,574,574,38.95,7,72.35,41,31.6,4.77,8
WH-15,2025-05-30,264,250,250,25.55,6,89.63,72,34.6,3.84,35
WH-03,2026-01-22,305,775,775,15.34,16,85.87,48,55.8,0.55,9
WH-06,2024-12-26,145,286,286,28.09,5,80.62,22,40.1,1.44,46
WH-14,2025-06-15,288,730,730,21.25,20,71.36,22,76.8,2.96,38
WH-12,2024-07-20,190,706,706,23.27,12,80.92,54,46.4,2.99,35
WH-03,2024-04-17,370,355,355,16.68,13,72.42,75,18.5,2.11,44
WH-11,2024-07-20,248,189,189,28.96,7,74.13,35,97.2,3.19,47
WH-18,2024-12-25,266,366,366,26.09,15,89.55,17,66.8,2.21,43
WH-11,2025-03-01,235,569,569,21.57,17,97.69,47,96.7,1.56,29
WH-08,2024-08-20,229,484,484,44.65,15,93.93,40,57.6,1.67,12
WH-01,2024-09-28,156,406,406,30.57,5,85.98,99,24.5,1.43,21
WH-06,2024-09-05,277,520,520,35.86,8,79.34,35,10.6,0.75,38
WH-18,2025-08-16,265,733,733,35.19,6,94.56,91,37.1,0.8,47
WH-02,2025-03-30,137,351,351,43.03,10,79.44,43,63.5,1.09,41
WH-15,2025-06-23,97,441,441,30.12,12,87.92,98,71.3,1.86,29
WH-01,2024-11-22,394,457,457,44.05,19,90.18,75,2.3,2.44,13
WH-12,2024-04-19,183,122,122,13.76,3,79.6,52,93.1,4.49,0
WH-02,2024-04-16,77,471,471,13.33,19,,76,95.2,0.72,48
WH-08,2024-11-12,162,182,182,18.01,6,89.04,55,54.4,1.24,15
WH-06,2024-05-24,336,100,100,15.5,2,88.56,92,33.0,3.88,0
WH-19,2025-11-09,245,552,552,35.7,8,97.31,18,50.4,3.56,44
WH-19,2025-05-17,343,727,727,26.42,5,82.57,40,1.7,1.6,17
WH-01,2025-06-14,203,745,745,42.05,20,93.89,69,27.5,0.73,39
WH-20,2025-06-07,370,512,512,27.3,16,73.08,75,21.0,4.18,4
WH-19,2026-01-03,70,359,359,12.73,9,72.88,32,41.7,3.04,14
WH-15,2024-08-03,306,745,745,28.55,7,72.09,14,85.4,0.59,13
WH-06,2025-02-03,149,334,334,20.26,3,72.31,43,9.0,3.14,31
WH-16,2024-05-09,377,119,119,10.17,17,84.83,59,6.1,0.25,5
WH-17,2024-12-12,211,745,745,22.25,5,76.68,18,41.4,2.09,17
WH-17,2026-01-14,90,322,322,30.05,16,76.49,32,7.2,2.34,10
WH-02,2024-07-29,191,124,124,11.36,10,86.31,27,69.4,2.31,0
WH-06,2024-07-02,106,723,723,44.65,3,72.83,76,82.6,0.84,39
WH-14,2026-03-19,194,626,626,21.29,9,73.22,80,22.4,0.62,3
WH-16,2026-02-22,152,438,2190,33.92,20,70.94,100,78.5,3.01,19
WH-18,2026-03-06,77,353,353,41.13,15,97.66,82,34.9,0.11,35
WH-19,2025-12-15,332,530,530,36.15,7,91.59,40,56.5,4.52,9
WH-09,2024-08-12,117,142,142,20.41,5,87.38,87,6.6,2.78,2
WH-20,2026-02-15,393,661,661,43.15,9,73.45,85,62.5,4.17,35
WH-17,2024-12-12,287,688,688,19.42,12,78.49,26,18.3,0.52,31
WH-06,2026-03-17,159,519,519,40.7,19,87.91,81,52.8,0.42,39
WH-19,2026-03-13,268,340,340,28.15,0,88.43,92,60.0,3.22,26
WH-11,2026-01-10,203,370,370,32.71,1,77.56,50,17.7,0.84,21
WH-09,2025-10-12,282,231,231,37.34,7,93.19,45,33.7,1.62,43
WH-04,2024-05-24,94,189,189,12.16,13,,17,53.2,2.37,10
WH-12,2025-01-25,340,243,243,35.11,20,96.1,17,33.7,1.27,46
WH-18,2025-06-07,332,386,386,26.93,4,80.01,25,47.2,3.79,2
WH-04,2025-11-11,221,514,514,15.16,9,95.24,13,7.0,0.53,3
WH-14,2024-11-19,90,697,697,28.72,3,71.63,45,53.9,4.04,31
WH-05,2024-06-14,233,243,243,24.8,16,,75,51.2,4.15,18
WH-02,2025-04-23,204,411,411,34.8,10,71.14,43,89.8,1.67,26
WH-05,2025-01-26,394,725,725,16.77,8,71.32,20,96.9,2.24,28
WH-18,2025-05-10,337,442,442,22.97,9,91.42,86,28.0,4.48,12
WH-07,2026-02-11,115,488,488,37.13,20,95.4,63,89.7,3.42,41
WH-12,2025-09-12,203,423,423,23.82,7,95.34,37,8.3,3.52,38
WH-11,2026-04-13,319,592,592,33.36,12,76.26,76,85.8,0.84,22
WH-05,2025-02-11,363,757,757,21.59,16,81.19,89,15.6,2.93,18
WH-12,2024-10-28,393,451,451,34.69,12,92.62,16,97.1,2.55,20
WH-20,2025-01-15,124,102,102,14.42,12,95.64,93,57.2,0.53,30
WH-13,2024-07-27,95,137,137,42.17,5,90.67,85,23.9,3.81,39
WH-10,2026-04-02,277,405,405,31.48,4,,40,11.9,0.42,32
WH-11,2025-10-06,177,242,242,23.75,6,88.31,46,91.7,1.55,8
WH-03,2024-06-29,122,662,662,36.39,5,74.26,23,51.1,0.66,19
WH-20,2025-05-27,358,105,105,27.63,1,71.03,60,62.0,0.25,16
WH-11,2025-09-16,194,714,714,19.08,17,96.97,34,27.9,2.04,5
WH-18,2025-03-14,143,640,640,44.23,5,94.63,37,26.2,1.34,42
WH-12,2024-10-10,93,202,202,44.49,8,84.58,55,96.8,1.7,4
WH-06,2025-07-20,111,331,331,38.28,19,76.13,81,49.2,2.45,24
WH-06,2024-11-05,386,249,249,18.66,12,71.97,96,55.6,0.87,12
WH-19,2024-12-11,329,724,724,13.16,12,86.38,49,9.9,4.12,0
WH-17,2024-05-26,246,489,489,27.13,0,,50,62.3,1.05,34
WH-04,2024-12-28,318,714,714,22.69,15,89.94,42,95.9,1.9,13
WH-01,2025-10-25,390,172,172,14.86,14,97.04,86,67.4,1.42,14
WH-10,2024-06-22,84,787,787,37.52,0,72.75,61,75.6,2.42,25
WH-13,2025-06-26,73,790,790,25.42,4,89.12,22,74.8,4.89,5
WH-04,2024-09-23,153,143,143,14.26,9,85.05,31,81.2,4.62,2
WH-11,2024-05-28,267,182,182,31.14,1,72.79,85,89.5,2.37,11
WH-03,2024-10-07,324,456,456,26.49,11,91.56,54,14.0,0.61,0
WH-13,2025-03-16,146,287,287,31.24,18,80.24,50,44.4,4.96,36
WH-20,2025-12-20,316,306,306,39.58,6,77.7,67,27.7,0.63,35
WH-01,2025-07-17,333,736,736,16.24,16,90.22,63,79.5,0.32,2
WH-20,2025-12-09,121,468,468,10.49,11,73.71,89,91.7,3.62,50
WH-18,2025-04-11,127,424,424,30.18,13,82.87,41,85.9,1.76,37
WH-12,2025-05-19,386,719,719,30.59,9,88.22,29,61.3,2.46,15
WH-13,2025-04-27,94,499,499,36.1,16,97.29,42,21.8,4.38,9
WH-03,2025-02-26,179,257,1285,23.88,16,,34,45.6,2.87,24
WH-16,2024-12-21,378,208,208,37.64,13,80.3,65,17.0,2.34,23
WH-05,2025-05-20,212,422,422,40.93,7,91.96,53,57.4,3.62,5
WH-15,2025-01-09,304,402,402,39.08,10,97.53,56,40.1,3.01,7
WH-16,2024-11-01,384,519,2595,28.81,2,89.27,83,67.3,4.29,9
WH-16,2025-06-25,184,198,198,28.5,10,81.09,58,94.4,4.88,23
WH-04,2024-12-13,144,119,119,32.73,3,80.33,52,38.0,0.16,24
WH-20,2024-04-22,383,388,388,30.18,3,75.68,33,51.0,0.72,19
WH-01,2025-07-10,330,297,297,44.6,15,88.55,77,42.8,0.57,24
WH-16,2025-06-14,277,140,140,20.81,18,92.82,28,94.9,0.74,40
WH-14,2024-09-12,263,640,640,29.46,1,75.93,46,53.2,3.76,5
WH-10,2024-09-30,345,799,799,29.22,18,77.13,76,81.2,2.32,3
WH-09,2026-02-19,349,503,503,37.54,17,,37,74.9,1.9,37
WH-17,2024-06-15,114,731,731,26.32,3,71.87,91,91.5,0.95,20
WH-19,2024-08-11,311,691,691,43.75,11,76.76,48,89.7,2.1,17
WH-02,2025-03-12,339,172,172,14.85,15,71.94,17,42.3,4.37,0
WH-16,2025-10-23,324,716,716,17.3,3,76.83,67,25.5,0.14,19
WH-17,2024-12-02,377,798,798,29.55,13,93.78,60,59.2,1.67,39
WH-15,2024-06-26,77,694,694,40.03,13,84.5,44,46.4,1.77,44
WH-19,2025-04-14,56,134,134,40.46,2,77.1,15,21.8,4.33,0
WH-20,2024-05-20,287,690,690,19.23,7,,45,79.3,1.62,41
WH-11,2024-06-19,333,596,596,16.58,19,78.85,57,97.8,3.31,1
WH-03,2024-11-08,366,283,283,10.7,9,76.15,24,14.8,2.81,4
WH-02,2025-08-22,144,539,539,44.08,2,95.65,88,26.6,2.07,20
WH-06,2025-11-26,139,691,691,19.33,15,77.46,22,30.9,3.21,44
WH-16,2025-08-03,349,582,582,33.31,8,97.34,80,70.8,1.44,18
WH-20,2025-01-08,366,287,287,23.45,3,78.19,61,61.8,1.48,0
WH-07,2025-02-05,260,307,307,17.01,4,,54,11.1,3.71,14
WH-02,2024-12-01,238,415,415,20.98,4,94.11,90,54.3,2.73,19
WH-05,2024-09-19,188,390,390,36.46,18,,25,47.9,1.35,19
WH-09,2025-08-26,361,255,1275,44.63,0,86.17,20,20.0,3.46,1
WH-12,2024-07-18,213,423,423,36.21,6,86.26,29,17.7,3.3,38
WH-06,2025-06-13,92,411,411,20.81,3,97.59,16,8.2,4.8,20
WH-08,2025-02-02,169,340,340,34.85,9,,62,11.4,4.67,25
WH-16,2025-09-19,299,757,757,26.86,17,73.35,51,23.1,3.15,36
WH-07,2024-06-04,186,325,325,26.2,10,,55,41.4,2.33,46
WH-20,2025-08-26,200,659,659,28.52,14,92.44,82,54.5,0.7,48
WH-03,2025-06-17,353,770,770,27.16,18,90.72,38,1.7,3.71,34
WH-18,2025-08-31,75,238,238,11.54,16,95.38,93,46.8,2.68,34
WH-18,2025-07-06,340,179,179,40.01,7,86.11,59,15.3,4.24,26
WH-20,2025-12-03,278,260,260,40.46,12,78.75,58,11.0,1.67,34
WH-10,2025-03-08,296,288,288,30.48,4,78.57,68,16.6,4.97,28
WH-12,2026-01-19,199,261,261,43.54,6,92.4,43,65.0,0.59,32
WH-13,2024-07-17,342,350,350,42.39,8,89.86,73,71.0,0.92,3
WH-01,2025-03-26,149,154,154,35.0,19,95.92,71,83.4,3.78,27
WH-05,2025-09-28,119,470,470,30.08,5,91.64,96,50.3,0.15,14
WH-15,2025-10-21,291,363,363,18.67,10,71.05,69,19.1,1.75,5
WH-03,2025-03-27,204,496,496,35.9,15,90.84,100,17.3,0.84,12
WH-08,2025-07-12,399,611,611,11.74,2,72.59,14,77.1,4.56,34
WH-19,2026-02-23,374,146,146,40.33,7,71.89,99,83.6,4.47,49
WH-09,2025-03-14,238,559,559,15.62,14,83.83,23,86.5,4.37,16
WH-15,2024-09-13,153,436,436,34.76,18,71.72,100,97.7,3.08,36
WH-19,2025-09-16,141,485,485,25.5,19,86.42,55,61.6,4.68,16
WH-09,2026-02-03,312,620,620,41.03,3,,45,44.3,4.07,20
WH-05,2024-12-20,266,518,518,33.95,4,96.37,49,37.8,3.22,1
WH-20,2025-01-27,204,799,799,40.25,17,72.34,99,88.3,3.37,24
WH-02,2025-01-24,135,697,697,22.72,1,72.99,45,96.1,0.5,19
WH-06,2026-03-04,377,534,534,26.93,9,82.79,93,70.6,3.69,43
WH-05,2025-03-24,93,461,461,37.99,4,73.68,34,96.7,2.81,36
WH-06,2025-03-19,102,561,561,10.72,5,71.46,48,48.8,4.79,46
WH-13,2024-07-05,52,301,301,39.28,3,88.48,97,86.3,0.93,49
WH-03,2024-05-07,176,511,511,22.3,12,79.25,95,69.6,3.17,21
WH-18,2025-04-18,167,633,633,40.96,15,82.56,35,64.5,2.21,26
WH-03,2024-08-14,164,794,794,43.4,16,92.99,72,23.3,1.23,20
WH-10,2026-01-07,169,583,583,15.69,18,94.97,80,16.5,2.9,31
WH-18,2025-10-10,172,670,670,41.9,13,84.56,46,93.9,2.86,46
WH-06,2025-12-12,213,670,670,35.77,1,89.86,76,34.0,4.93,9
WH-14,2025-03-25,369,575,575,26.96,7,97.88,16,69.9,0.68,24
WH-13,2025-01-20,50,747,747,21.03,8,82.25,11,42.3,3.41,33
WH-10,2024-07-14,384,253,253,40.63,5,79.3,11,4.2,2.39,29
WH-14,2024-11-16,328,245,245,44.4,19,90.78,15,23.9,3.12,23
WH-20,2024-07-19,275,136,136,11.78,15,75.99,13,40.0,4.69,37
WH-16,2025-07-15,219,780,780,41.05,1,74.32,54,9.8,3.7,14
WH-20,2024-09-17,397,725,725,27.77,0,88.36,97,68.5,4.15,38
WH-19,2024-12-05,357,216,216,27.79,7,91.48,44,70.5,1.09,14
WH-04,2025-11-13,246,126,126,11.08,11,79.86,97,55.8,1.14,14
WH-06,2025-02-02,331,374,374,20.37,12,94.4,96,33.7,2.26,38
WH-05,2026-01-03,138,212,212,17.17,1,70.66,22,82.2,1.56,25
WH-11,2025-05-30,188,508,508,19.46,10,83.49,79,43.4,2.49,45
WH-13,2025-07-25,282,277,277,27.27,4,92.17,11,44.9,4.03,44
WH-02,2025-07-18,67,382,382,36.07,13,88.64,60,72.9,1.4,23
WH-17,2026-02-14,246,527,527,33.78,19,77.04,43,35.9,2.11,14
WH-04,2024-11-17,371,434,434,11.32,10,73.57,21,6.1,1.41,30
WH-04,2025-06-30,347,675,675,34.3,13,79.2,45,45.8,3.0,40
WH-19,2025-07-11,188,347,347,10.63,1,77.54,65,16.0,2.12,44
WH-11,2025-05-08,76,776,776,37.43,8,90.92,12,37.0,4.82,35
WH-17,2025-11-10,262,703,703,23.54,11,,89,44.2,0.09,21
WH-02,2025-11-07,171,468,468,26.68,17,,92,10.4,3.88,34
WH-08,2026-02-20,362,521,521,20.65,10,,65,34.2,3.66,16
WH-11,2025-02-02,207,411,411,34.08,16,83.18,43,94.6,2.45,8
WH-06,2024-11-18,367,774,774,43.21,19,79.16,13,61.2,3.29,35
WH-02,2025-11-18,150,495,495,44.67,6,75.58,38,55.9,3.24,27
WH-14,2024-11-27,98,521,521,23.57,5,85.02,74,29.9,0.59,15
WH-20,2025-03-26,318,586,586,34.37,13,81.38,74,18.8,0.02,28
WH-04,2026-02-04,123,595,595,36.06,3,88.13,29,37.5,2.4,36
WH-16,2024-04-30,79,438,438,37.47,7,85.31,16,16.3,4.62,28
WH-10,2026-03-31,124,111,111,19.58,16,88.7,71,4.0,3.81,17
WH-14,2025-04-21,201,455,455,31.09,11,75.77,25,79.4,3.94,49
WH-17,2024-06-29,127,286,286,26.91,15,74.28,38,15.3,0.1,43
WH-18,2024-11-18,154,600,600,15.76,3,74.65,91,45.1,4.48,15
WH-08,2025-05-24,80,142,142,20.82,0,83.55,67,36.2,3.06,14
WH-01,2024-12-23,385,550,550,20.29,15,92.31,56,91.3,4.08,5
WH-19,2024-06-06,365,568,568,35.83,18,71.23,69,86.2,2.11,27
WH-17,2025-03-15,390,370,370,40.5,7,92.15,81,29.9,1.54,44
WH-02,2025-05-24,127,350,350,14.4,6,90.4,64,19.5,2.34,43
WH-13,2025-01-29,149,463,463,14.51,3,81.53,22,70.4,2.25,32
WH-19,2025-11-19,186,234,1170,18.1,20,82.65,45,99.6,0.4,48
WH-05,2025-12-11,66,784,784,22.05,16,96.58,39,79.3,1.1,12
WH-11,2025-04-25,102,302,302,13.79,13,95.0,98,33.7,3.74,5
WH-19,2025-01-01,95,792,792,39.49,1,77.62,91,51.9,0.71,18
WH-05,2026-04-05,162,171,171,37.34,7,,52,67.6,1.61,43
WH-10,2025-07-07,246,370,370,40.34,12,70.72,38,22.2,2.64,12
WH-02,2026-02-17,270,363,363,17.86,13,83.34,53,15.5,4.06,17
WH-19,2026-01-18,382,497,497,42.54,19,85.51,81,0.5,4.45,43
WH-07,2025-02-26,135,622,622,34.57,2,95.08,90,73.4,4.79,49
WH-19,2025-12-22,161,473,473,17.89,2,,78,31.1,4.99,44
WH-20,2025-03-28,323,366,366,25.54,10,76.7,65,50.9,1.82,22
WH-17,2025-01-15,396,192,192,17.7,0,77.08,42,95.8,0.84,37
WH-08,2025-08-16,173,639,639,22.47,19,,56,56.1,3.93,32
WH-16,2024-07-01,281,311,311,43.36,10,73.8,84,81.1,0.23,30
WH-06,2026-02-09,378,394,394,38.76,17,95.94,42,33.4,0.29,32
WH-02,2025-08-27,273,579,579,26.92,9,74.02,75,68.1,2.62,14
WH-04,2025-01-08,315,726,726,14.16,7,86.95,24,49.8,0.34,35
WH-08,2025-02-16,123,458,458,25.88,7,97.84,81,82.6,0.05,12
WH-02,2025-10-01,171,753,753,15.74,9,83.2,53,0.1,2.99,20
WH-20,2025-03-16,284,570,570,23.17,14,79.3,20,99.7,4.57,43
WH-11,2025-12-26,316,536,536,38.9,16,,22,87.8,1.08,38
WH-20,2025-07-25,390,797,797,22.8,13,91.62,34,8.6,1.87,1
WH-07,2024-08-25,371,402,402,24.55,10,71.14,90,78.8,0.76,44
WH-08,2025-05-08,155,374,374,42.91,6,79.41,97,97.7,2.58,33
WH-13,2026-01-27,305,221,221,22.33,16,78.14,18,40.5,0.63,33
WH-15,2025-08-20,271,114,114,38.22,5,94.93,99,96.6,2.03,13
WH-06,2025-10-02,248,231,231,14.66,15,76.11,46,28.5,3.98,42
WH-14,2024-04-17,363,445,445,21.74,18,81.93,79,88.1,2.78,31
WH-06,2025-11-11,178,756,756,28.07,12,79.49,23,71.0,3.41,20
WH-10,2025-07-14,374,101,101,32.5,16,70.77,63,50.5,3.97,20
WH-06,2025-08-01,247,438,438,32.54,17,92.54,53,99.7,2.75,6
WH-10,2024-09-21,83,790,790,37.34,11,89.23,79,54.3,3.3,17
WH-11,2024-06-11,161,135,135,38.92,0,85.71,82,61.2,0.81,34
WH-13,2025-03-10,243,600,600,36.98,18,85.82,95,75.8,4.23,39
WH-19,2025-08-19,156,759,759,16.22,8,95.58,25,52.8,0.93,42
WH-01,2026-02-12,139,256,256,19.56,6,96.34,34,71.9,2.51,17
WH-04,2024-05-15,314,698,698,19.15,10,91.68,62,75.0,0.15,48
WH-08,2025-12-25,179,547,547,23.96,1,97.56,66,71.4,0.94,18
WH-06,2025-03-25,96,235,235,43.49,9,82.68,46,75.1,4.41,5
WH-14,2025-12-17,152,251,251,40.15,15,71.19,91,68.4,1.48,27
WH-17,2025-01-28,250,539,539,23.81,19,70.82,79,14.1,1.16,13
WH-09,2025-02-01,277,255,255,43.63,14,75.12,69,35.8,0.52,26
WH-01,2025-04-16,279,666,666,41.42,2,82.62,51,26.2,3.46,16
WH-17,2024-08-22,106,424,424,23.96,0,84.68,42,87.3,3.94,23
WH-12,2025-12-06,195,399,399,37.33,4,87.22,95,14.9,4.12,46
WH-17,2025-09-10,343,793,793,39.04,5,90.6,39,98.4,3.18,39
WH-15,2024-12-17,73,704,3520,39.63,20,86.23,98,85.5,1.23,9
WH-05,2024-04-23,341,651,651,31.28,13,90.11,93,71.8,4.74,26
WH-19,2025-10-18,109,439,439,40.9,7,86.56,82,49.0,4.1,18
WH-07,2024-08-25,71,163,163,38.39,11,97.18,25,91.8,3.65,48
WH-14,2024-08-12,369,319,319,23.67,9,82.22,91,31.6,3.41,19
WH-11,2024-11-10,129,771,771,17.84,7,94.58,19,88.8,4.65,33
WH-07,2026-03-15,102,782,782,14.83,13,73.73,83,64.6,2.2,41
WH-17,2025-07-01,171,681,681,36.13,6,79.61,36,25.3,1.75,12
WH-17,2025-03-15,111,355,355,39.34,7,75.53,14,45.8,1.59,16
WH-06,2025-01-24,232,699,699,39.08,7,97.65,100,46.1,3.07,9
WH-03,2024-07-16,190,100,100,43.82,2,77.81,82,65.3,4.55,4
WH-12,2026-03-02,181,693,693,22.19,4,72.54,36,31.3,1.78,34
WH-09,2026-01-30,298,330,330,28.79,18,75.7,65,56.9,3.32,18
WH-06,2025-04-11,163,764,764,44.61,16,73.18,70,82.3,4.22,11
WH-13,2026-02-16,51,515,515,31.41,16,73.09,70,29.5,1.37,31
WH-17,2025-03-08,202,697,697,27.5,14,74.78,43,0.4,0.72,21
WH-14,2025-12-13,73,460,460,11.67,20,89.27,92,67.4,0.86,42
WH-04,2024-10-10,99,683,3415,15.9,18,97.0,27,32.9,0.65,5
WH-04,2024-06-02,354,582,582,17.73,15,73.1,52,99.0,1.54,28
WH-16,2025-04-04,74,692,692,38.52,7,76.47,50,88.0,4.64,11
WH-03,2025-06-22,149,290,290,15.76,8,83.83,24,57.7,2.28,46
WH-02,2025-12-14,328,555,555,20.35,19,95.73,94,38.8,2.39,46
WH-20,2026-03-13,99,451,451,28.18,5,73.22,99,37.2,3.83,5
