vehicle_id,maintenance_date,maintenance_type,cost,description,mechanic_id,mileage_at_service,next_maintenance_due,service_duration_hours
VEH-244,2025-01-11,oil_change,1427.89,Oil Change - emergency,MECH-9,125466,2025-04-12,2.1
VEH-150,2025-12-15,replacement,1547.14,Replacement - scheduled,MECH-10,154384,2026-03-03,4.9
VEH-018,2025-06-03,replacement,513.32,Replacement - scheduled,MECH-6,19457,2026-03-13,14.2
VEH-210,2026-03-10,replacement,868.07,Replacement - routine,MECH-18,80885,2026-04-19,13.7
VEH-021,2025-12-29,tire_rotation,1665.65,Tire Rotation - emergency,MECH-6,15618,2026-01-30,12.7
VEH-121,2025-10-25,general_check,615.25,General Check - scheduled,MECH-4,160966,2026-01-12,14.9
VEH-221,2024-06-20,inspection,187.34,Inspection - routine,MECH-8,145720,2025-02-08,13.0
VEH-195,2025-07-31,inspection,544.83,Inspection - scheduled,MECH-5,164033,2025-10-21,2.9
VEH-120,2025-01-14,general_check,1932.08,General Check - preventive,MECH-7,12033,2025-08-21,13.4
VEH-163,2024-12-18,replacement,1980.29,Replacement - emergency,MECH-18,80730,2025-05-11,6.3
VEH-293,2024-10-15,general_check,228.09,General Check - routine,MECH-17,54854,2025-05-12,18.7
VEH-130,2025-09-05,brake_service,1916.02,Brake Service - preventive,MECH-3,89633,2026-06-18,7.4
VEH-221,2024-12-03,replacement,1812.22,Replacement - routine,MECH-5,186483,2025-01-20,3.9
VEH-223,2025-10-27,oil_change,392.51,Oil Change - scheduled,MECH-4,164578,2026-05-11,11.0
VEH-205,2026-02-12,tire_rotation,450.64,Tire Rotation - scheduled,MECH-3,108003,2027-01-24,14.6
VEH-289,2025-08-09,brake_service,1617.53,Brake Service - emergency,MECH-3,144502,2026-06-22,16.8
VEH-081,2025-07-15,tire_rotation,1836.17,Tire Rotation - emergency,MECH-8,157669,2026-03-20,15.7
VEH-288,2025-01-13,repair,1031.78,,MECH-4,143427,2025-09-17,7.5
VEH-228,2026-01-08,replacement,1914.04,Replacement - preventive,MECH-13,144784,2026-12-23,15.5
VEH-008,2024-07-28,brake_service,544.26,Brake Service - routine,MECH-7,183542,2025-06-07,3.2
VEH-175,2025-03-30,tire_rotation,273.55,Tire Rotation - emergency,MECH-10,134894,2025-08-10,14.7
VEH-108,2024-04-25,inspection,656.09,Inspection - emergency,MECH-20,198312,2024-10-17,6.1
VEH-030,2026-01-05,inspection,1477.35,Inspection - routine,MECH-10,118700,2026-02-18,6.9
VEH-253,2024-05-11,inspection,1576.54,Inspection - routine,MECH-2,103252,2024-08-18,7.0
VEH-223,2025-08-25,repair,737.79,Repair - preventive,MECH-2,183477,2025-11-03,6.5
VEH-178,2024-06-15,brake_service,1321.95,Brake Service - routine,MECH-10,58634,2025-01-05,22.8
VEH-167,2024-09-26,oil_change,1888.86,Oil Change - scheduled,MECH-15,138286,2025-05-06,15.5
VEH-218,2025-09-03,brake_service,847.37,Brake Service - scheduled,MECH-18,16240,2025-11-30,3.1
VEH-229,2024-05-24,repair,698.85,Repair - emergency,MECH-13,11427,2025-05-08,21.5
VEH-178,2025-09-13,repair,1016.26,Repair - emergency,MECH-17,185229,2026-06-24,22.6
VEH-033,2025-06-17,oil_change,1303.38,Oil Change - preventive,MECH-18,69812,,17.5
VEH-103,2025-01-13,repair,1361.21,Repair - preventive,MECH-16,194696,2025-04-14,14.3
VEH-099,2026-03-31,tire_rotation,1617.24,Tire Rotation - preventive,MECH-18,21752,2026-12-05,21.3
VEH-181,2024-11-20,general_check,364.97,General Check - emergency,MECH-13,15471,2025-03-14,15.3
VEH-158,2025-11-16,tire_rotation,724.8,Tire Rotation - preventive,MECH-19,95214,2025-12-30,22.5
VEH-209,2025-10-29,oil_change,1980.66,Oil Change - emergency,MECH-12,189661,2026-08-20,22.6
VEH-045,2025-05-03,brake_service,369.39,Brake Service - routine,MECH-16,90200,2025-08-23,17.2
VEH-076,2025-12-09,general_check,1986.73,General Check - emergency,MECH-8,187399,2026-06-20,11.6
VEH-247,2026-03-26,repair,1852.45,Repair - emergency,MECH-14,185541,2027-01-06,17.6
VEH-102,2025-07-14,oil_change,727.45,Oil Change - routine,MECH-12,20113,2026-02-17,10.8
VEH-108,2025-03-25,repair,1931.04,,MECH-10,54378,2025-06-03,3.0
VEH-049,2025-10-01,oil_change,1857.67,Oil Change - routine,MECH-19,103207,2026-07-05,21.0
VEH-272,2026-04-02,repair,60.47,Repair - emergency,MECH-14,46743,2027-03-11,5.1
VEH-022,2026-03-28,tire_rotation,228.06,Tire Rotation - scheduled,MECH-11,33169,2026-08-11,12.2
VEH-292,2025-10-25,repair,1170.28,Repair - preventive,MECH-18,157638,2026-03-09,19.3
VEH-200,2026-01-20,tire_rotation,704.15,Tire Rotation - emergency,MECH-13,115010,2026-10-03,4.7
VEH-092,2025-10-02,repair,201.53,Repair - emergency,MECH-17,130020,2026-01-19,9.1
VEH-196,2025-04-24,brake_service,299.17,,MECH-19,157714,2025-06-10,7.8
VEH-254,2025-05-30,repair,950.07,Repair - emergency,MECH-6,20856,2025-09-10,19.7
VEH-045,2025-04-06,inspection,892.9,Inspection - routine,MECH-8,15860,,4.1
VEH-030,2024-06-10,brake_service,1525.84,Brake Service - routine,MECH-2,91881,2024-12-27,21.9
VEH-266,2025-09-14,repair,426.7,Repair - routine,MECH-16,20488,2026-09-08,23.3
VEH-102,2024-08-08,oil_change,1569.42,Oil Change - preventive,MECH-7,38685,2025-07-30,18.0
VEH-117,2025-06-23,repair,1635.92,Repair - preventive,MECH-7,175912,2026-04-01,10.3
VEH-186,2024-05-12,tire_rotation,66.13,Tire Rotation - scheduled,MECH-8,11838,2025-02-28,13.6
VEH-271,2024-09-27,repair,1271.48,Repair - scheduled,MECH-11,167433,2025-05-01,7.9
VEH-049,2024-07-12,inspection,943.49,Inspection - preventive,MECH-20,112701,2025-02-28,4.3
VEH-077,2026-04-13,oil_change,1379.59,,MECH-17,74546,2027-01-26,20.8
VEH-093,2025-02-20,tire_rotation,86.77,Tire Rotation - preventive,MECH-3,56609,2026-02-20,12.4
VEH-200,2025-10-06,replacement,1835.83,Replacement - preventive,MECH-4,154824,2025-12-08,5.9
VEH-207,2024-08-24,brake_service,1714.97,Brake Service - emergency,MECH-15,74647,2024-10-01,2.6
VEH-280,2024-08-05,repair,78.41,Repair - emergency,MECH-16,194334,2025-02-06,15.7
VEH-140,2024-05-24,tire_rotation,1458.86,Tire Rotation - preventive,MECH-11,126782,2024-09-06,17.9
VEH-265,2025-04-23,brake_service,1806.24,Brake Service - routine,MECH-3,19883,2026-03-22,8.8
VEH-046,2024-04-23,replacement,1883.97,Replacement - routine,MECH-12,36310,2024-09-22,8.1
VEH-031,2024-09-25,repair,119.9,Repair - routine,MECH-8,132536,2025-07-24,4.4
VEH-300,2025-05-29,tire_rotation,1173.01,Tire Rotation - preventive,MECH-18,36690,2025-09-29,2.0
VEH-161,2024-11-25,repair,248.37,Repair - preventive,MECH-5,79257,2025-06-17,23.4
VEH-234,2025-05-24,oil_change,193.68,Oil Change - scheduled,MECH-6,49110,2026-05-04,1.4
VEH-116,2024-05-13,inspection,282.7,Inspection - routine,MECH-9,138427,2024-08-20,7.6
VEH-279,2025-06-06,oil_change,1902.74,Oil Change - scheduled,MECH-6,52233,2026-05-22,11.6
VEH-135,2025-12-20,repair,511.52,Repair - preventive,MECH-8,140822,2026-03-20,6.2
VEH-005,2025-02-12,replacement,744.87,Replacement - preventive,MECH-3,104652,2026-01-07,11.8
VEH-049,2025-02-26,replacement,1811.41,Replacement - scheduled,MECH-10,46229,2025-07-28,18.9
VEH-017,2025-07-12,inspection,1356.34,Inspection - scheduled,MECH-2,126296,2026-01-18,18.5
VEH-293,2025-02-18,general_check,1967.95,General Check - emergency,MECH-6,22456,2025-05-04,19.3
VEH-051,2025-03-08,inspection,1144.51,Inspection - routine,MECH-16,180856,,23.6
VEH-025,2025-12-02,tire_rotation,281.77,Tire Rotation - routine,MECH-4,149037,2026-10-02,9.3
VEH-223,2025-07-30,replacement,1976.92,Replacement - emergency,MECH-15,188263,2026-02-28,8.9
VEH-246,2025-01-26,general_check,1900.61,General Check - routine,MECH-19,43068,2025-11-26,18.6
VEH-084,2026-04-07,repair,1462.87,Repair - preventive,MECH-4,90223,2026-12-12,12.0
VEH-293,2025-03-10,repair,918.67,Repair - emergency,MECH-18,193217,2025-08-05,5.4
VEH-066,2025-12-14,oil_change,1023.35,Oil Change - preventive,MECH-7,155241,2026-03-10,17.3
VEH-160,2026-01-15,general_check,646.48,General Check - routine,MECH-9,147093,2027-01-09,2.0
VEH-075,2025-11-29,repair,1763.97,Repair - preventive,MECH-18,189360,2026-08-02,22.0
VEH-218,2025-05-27,tire_rotation,654.5,Tire Rotation - preventive,MECH-20,61977,2025-12-28,17.8
VEH-058,2025-06-06,tire_rotation,1985.62,Tire Rotation - scheduled,MECH-15,180074,2026-03-11,23.6
VEH-251,2025-04-05,tire_rotation,405.6,Tire Rotation - scheduled,MECH-17,76492,2025-07-20,20.4
VEH-118,2024-12-17,brake_service,798.12,Brake Service - preventive,MECH-15,181819,2025-05-18,16.5
VEH-039,2025-06-24,oil_change,1276.51,Oil Change - preventive,MECH-18,189738,2026-03-20,2.8
VEH-008,2025-08-18,replacement,238.72,Replacement - scheduled,MECH-4,70533,2026-02-25,19.8
VEH-056,2026-03-09,oil_change,1541.1,Oil Change - preventive,MECH-14,148728,2027-03-01,10.4
VEH-201,2025-08-06,general_check,342.84,General Check - routine,MECH-18,78731,2025-11-17,19.4
VEH-058,2025-05-20,general_check,848.2,General Check - emergency,MECH-14,74404,2025-12-06,7.5
VEH-146,2025-04-15,brake_service,1983.35,Brake Service - scheduled,MECH-8,167829,2026-04-06,20.2
VEH-222,2026-01-06,replacement,302.55,Replacement - emergency,MECH-15,36617,2026-06-07,15.8
VEH-104,2025-09-26,inspection,928.0,Inspection - emergency,MECH-3,173441,2025-11-10,21.7
VEH-286,2024-11-23,general_check,1299.53,General Check - scheduled,MECH-16,137673,2025-06-01,5.7
VEH-130,2026-03-28,general_check,322.09,General Check - preventive,MECH-20,149057,2027-01-27,9.4
VEH-207,2025-02-18,inspection,1769.15,Inspection - preventive,MECH-11,48987,2025-05-19,8.5
VEH-073,2024-12-21,replacement,1829.45,Replacement - scheduled,MECH-14,183578,2025-03-15,21.4
VEH-028,2024-08-19,brake_service,216.0,Brake Service - routine,MECH-18,37453,2025-06-27,10.6
VEH-181,2025-03-29,tire_rotation,1017.12,Tire Rotation - preventive,MECH-19,162792,2025-11-10,5.1
VEH-213,2025-10-26,tire_rotation,1825.78,Tire Rotation - routine,MECH-13,132594,2026-09-16,8.9
VEH-248,2025-01-28,tire_rotation,1862.47,Tire Rotation - scheduled,MECH-11,177265,2025-12-12,12.9
VEH-105,2024-11-10,brake_service,1286.39,Brake Service - routine,MECH-19,29445,2025-09-28,23.2
VEH-115,2026-02-16,oil_change,71.13,Oil Change - routine,MECH-12,185369,2026-05-30,18.5
VEH-016,2024-06-20,repair,69.13,Repair - scheduled,MECH-2,104579,2025-05-02,19.4
VEH-193,2025-05-26,tire_rotation,580.35,Tire Rotation - preventive,MECH-8,135567,2026-03-23,8.2
VEH-226,2024-08-05,inspection,1789.79,Inspection - preventive,MECH-5,198713,2025-03-06,10.7
VEH-002,2026-02-25,inspection,1935.61,Inspection - routine,MECH-15,38273,2026-08-02,19.8
VEH-038,2024-06-18,inspection,781.43,Inspection - routine,MECH-9,103918,2024-10-30,1.5
VEH-296,2025-04-09,replacement,338.34,Replacement - preventive,MECH-6,148728,2025-10-21,14.7
VEH-271,2025-02-05,general_check,131.69,General Check - scheduled,MECH-17,162206,2025-09-18,18.3
VEH-149,2025-10-03,replacement,1086.66,Replacement - emergency,MECH-7,138454,2025-12-27,19.1
VEH-246,2026-01-07,inspection,235.49,Inspection - routine,MECH-5,103267,2026-04-27,8.4
VEH-149,2025-07-27,general_check,238.52,General Check - scheduled,MECH-12,75300,2026-01-31,17.0
VEH-278,2025-01-17,general_check,1033.33,General Check - preventive,MECH-16,139670,2025-11-26,18.6
VEH-007,2026-01-21,repair,696.98,Repair - preventive,MECH-15,59730,2026-10-10,12.3
VEH-034,2025-09-07,oil_change,795.57,,MECH-11,33758,2026-02-02,8.2
VEH-002,2025-02-23,tire_rotation,1893.12,Tire Rotation - preventive,MECH-12,146328,2025-06-14,1.0
VEH-293,2025-12-11,oil_change,170.27,Oil Change - routine,MECH-12,100520,2026-09-29,19.6
VEH-269,2025-08-30,inspection,578.84,Inspection - scheduled,MECH-16,133543,2026-07-03,6.4
VEH-110,2025-08-28,inspection,1506.35,Inspection - scheduled,MECH-4,18969,2026-04-14,18.5
VEH-283,2025-10-25,repair,987.49,Repair - scheduled,MECH-1,153401,2026-05-19,12.3
VEH-229,2026-02-17,brake_service,226.49,Brake Service - preventive,MECH-8,104972,2026-09-09,2.0
VEH-050,2025-04-28,brake_service,1863.41,Brake Service - preventive,MECH-10,193397,2025-11-02,4.0
VEH-030,2026-03-05,inspection,1367.03,Inspection - emergency,MECH-9,71722,2026-04-14,8.1
VEH-271,2025-08-04,inspection,1164.88,Inspection - emergency,MECH-7,112447,2026-05-28,19.9
VEH-068,2025-01-19,general_check,278.36,General Check - emergency,MECH-19,193154,2025-08-19,12.9
VEH-070,2024-09-12,tire_rotation,155.05,Tire Rotation - emergency,MECH-8,146286,2024-10-16,19.3
VEH-005,2025-12-23,replacement,1134.02,Replacement - scheduled,MECH-6,169161,2026-12-16,2.1
VEH-254,2024-12-11,general_check,1537.61,General Check - emergency,MECH-7,104390,2025-09-01,13.1
VEH-029,2024-11-16,oil_change,1755.66,Oil Change - preventive,MECH-4,115406,2025-03-22,19.3
VEH-231,2026-01-20,brake_service,309.19,Brake Service - emergency,MECH-10,127092,2026-09-04,14.5
VEH-065,2025-11-26,oil_change,1878.65,Oil Change - scheduled,MECH-8,86466,2026-03-09,17.7
VEH-178,2024-10-15,oil_change,1540.7,Oil Change - preventive,MECH-15,178385,2024-12-09,20.5
VEH-151,2025-12-25,general_check,898.58,General Check - emergency,MECH-7,180954,2026-05-12,4.5
VEH-045,2024-07-01,brake_service,584.12,Brake Service - routine,MECH-16,187694,2025-04-08,8.2
VEH-150,2024-04-24,brake_service,1577.06,Brake Service - preventive,MECH-7,159424,2025-01-12,20.6
VEH-007,2026-03-08,tire_rotation,202.96,Tire Rotation - scheduled,MECH-20,181680,2026-12-29,11.5
VEH-031,2025-10-16,repair,918.19,Repair - scheduled,MECH-3,142992,2026-10-05,12.6
VEH-250,2025-10-03,repair,1027.88,Repair - preventive,MECH-2,196675,2025-12-01,14.2
VEH-130,2025-11-11,brake_service,738.93,,MECH-4,149113,2026-01-17,5.9
VEH-067,2024-07-18,general_check,1490.33,General Check - routine,MECH-7,193220,2024-12-11,22.3
VEH-019,2025-02-26,oil_change,723.55,Oil Change - emergency,MECH-15,85952,2025-07-07,6.8
VEH-030,2024-07-19,general_check,1537.02,General Check - emergency,MECH-14,179873,2024-11-13,20.3
VEH-134,2026-01-24,brake_service,1960.74,Brake Service - routine,MECH-10,181933,2026-09-12,17.0
VEH-221,2025-07-03,replacement,1153.52,Replacement - preventive,MECH-5,198314,2026-04-21,9.3
VEH-123,2026-01-25,tire_rotation,1949.71,Tire Rotation - routine,MECH-7,17198,2026-11-10,22.5
VEH-231,2024-06-13,general_check,1432.64,General Check - emergency,MECH-4,171543,2024-07-26,13.4
VEH-242,2024-10-26,oil_change,703.33,Oil Change - emergency,MECH-9,145775,2024-12-17,2.4
VEH-074,2025-08-15,repair,701.01,Repair - routine,MECH-17,134710,2025-12-23,20.9
VEH-019,2024-08-19,general_check,808.07,General Check - routine,MECH-16,183342,,1.9
VEH-142,2025-03-23,brake_service,332.36,Brake Service - emergency,MECH-14,20939,2025-07-10,22.1
VEH-276,2024-07-13,inspection,1918.26,Inspection - preventive,MECH-17,198789,2025-01-16,19.2
VEH-250,2026-02-22,general_check,560.57,General Check - preventive,MECH-17,126097,2026-04-28,2.6
VEH-254,2024-09-16,replacement,1674.36,Replacement - scheduled,MECH-9,127767,2025-02-17,9.5
VEH-056,2024-05-14,brake_service,87.23,Brake Service - scheduled,MECH-20,121959,2024-08-31,14.8
VEH-117,2025-04-04,brake_service,1944.07,Brake Service - emergency,MECH-4,112047,2025-12-08,22.5
VEH-221,2025-01-24,brake_service,1623.15,Brake Service - scheduled,MECH-11,183322,2025-11-02,9.0
VEH-237,2026-01-01,replacement,924.86,,MECH-18,54527,2026-12-03,7.1
VEH-095,2025-06-23,replacement,1028.47,Replacement - scheduled,MECH-1,86426,2025-09-16,13.4
VEH-029,2025-02-25,inspection,1634.64,Inspection - emergency,MECH-2,98890,2025-09-01,12.3
VEH-172,2025-08-13,tire_rotation,1269.25,Tire Rotation - routine,MECH-9,47740,2026-04-27,4.5
VEH-033,2024-11-01,replacement,1793.56,Replacement - preventive,MECH-9,153006,2025-06-13,8.9
VEH-257,2025-03-24,tire_rotation,443.99,Tire Rotation - scheduled,MECH-16,188212,2025-12-12,15.7
VEH-039,2024-11-11,inspection,1661.66,Inspection - routine,MECH-9,174678,2025-01-04,13.1
VEH-084,2025-02-28,tire_rotation,372.26,Tire Rotation - preventive,MECH-19,37443,2025-09-28,18.7
VEH-015,2024-11-20,oil_change,74.62,Oil Change - preventive,MECH-13,194316,2025-08-04,9.9
VEH-162,2025-08-17,replacement,1224.28,Replacement - preventive,MECH-18,81806,2026-04-12,21.1
VEH-145,2024-09-13,tire_rotation,1037.12,Tire Rotation - emergency,MECH-8,55734,2024-11-17,10.1
VEH-123,2024-10-08,oil_change,64.62,Oil Change - scheduled,MECH-12,149403,2025-02-11,4.9
VEH-188,2024-07-11,brake_service,1310.38,Brake Service - scheduled,MECH-19,24251,2025-05-28,11.1
VEH-094,2024-07-14,oil_change,1065.18,Oil Change - preventive,MECH-12,134075,2025-05-28,14.2
VEH-138,2025-12-27,tire_rotation,1991.29,Tire Rotation - emergency,MECH-7,90491,2026-09-03,1.8
VEH-057,2025-11-04,oil_change,1351.39,,MECH-13,91950,2026-10-28,1.8
VEH-146,2025-11-04,oil_change,1536.74,Oil Change - preventive,MECH-13,121095,2025-12-21,4.2
VEH-132,2026-04-02,replacement,884.87,Replacement - scheduled,MECH-13,77993,2026-11-28,5.2
VEH-218,2024-08-26,general_check,1648.87,General Check - preventive,MECH-7,89479,2025-07-23,14.2
VEH-256,2025-07-01,inspection,173.94,Inspection - emergency,MECH-17,66859,2025-12-05,22.0
VEH-075,2024-12-13,oil_change,1225.34,Oil Change - routine,MECH-6,116222,2025-08-24,4.3
VEH-161,2026-02-20,inspection,1519.1,Inspection - scheduled,MECH-17,125882,2026-08-20,5.6
VEH-157,2025-09-19,general_check,1826.64,General Check - scheduled,MECH-4,174888,2026-07-27,6.4
VEH-063,2025-07-05,replacement,1601.93,Replacement - emergency,MECH-2,43384,2026-03-08,10.9
VEH-040,2024-11-26,oil_change,542.82,Oil Change - preventive,MECH-14,123960,2025-02-22,17.6
VEH-242,2025-04-22,general_check,290.41,General Check - scheduled,MECH-9,174270,2025-07-21,19.6
VEH-049,2026-04-01,brake_service,1941.44,Brake Service - scheduled,MECH-14,112722,2026-11-11,14.8
VEH-057,2025-03-02,inspection,287.71,Inspection - emergency,MECH-13,35513,2025-08-02,10.0
VEH-167,2026-01-09,tire_rotation,1349.94,Tire Rotation - routine,MECH-11,114802,2026-11-29,11.5
VEH-080,2025-05-19,repair,1228.9,Repair - scheduled,MECH-7,140422,2025-11-08,19.6
VEH-227,2025-01-13,brake_service,665.01,Brake Service - routine,MECH-3,23589,2025-06-13,1.6
VEH-289,2024-05-07,oil_change,176.3,Oil Change - preventive,MECH-17,50451,,3.8
VEH-046,2024-12-30,brake_service,447.64,Brake Service - routine,MECH-19,95010,2025-05-14,20.2
VEH-219,2026-01-13,general_check,1427.96,General Check - preventive,MECH-8,148678,2026-04-23,4.0
VEH-261,2024-11-06,inspection,700.06,Inspection - emergency,MECH-12,90749,2025-03-26,18.7
VEH-185,2024-11-16,replacement,1800.67,Replacement - scheduled,MECH-14,92965,2025-03-07,21.3
VEH-089,2024-07-18,replacement,199.44,Replacement - scheduled,MECH-6,120981,2024-10-04,17.6
VEH-237,2024-07-20,tire_rotation,491.53,Tire Rotation - preventive,MECH-6,152243,2025-02-08,7.8
VEH-112,2025-10-05,repair,1095.36,Repair - preventive,MECH-6,90732,2026-05-28,16.9
VEH-210,2024-09-10,tire_rotation,1222.39,Tire Rotation - preventive,MECH-14,80927,2025-02-01,5.9
VEH-255,2024-07-05,inspection,1180.16,Inspection - emergency,MECH-19,111595,2024-11-15,19.0
VEH-007,2025-04-13,general_check,730.01,General Check - routine,MECH-9,93056,2025-11-15,7.3
VEH-050,2025-08-26,tire_rotation,1910.97,Tire Rotation - scheduled,MECH-2,126730,2026-04-03,21.4
VEH-253,2025-08-30,brake_service,249.57,Brake Service - scheduled,MECH-20,153838,2026-04-09,19.4
VEH-145,2024-06-30,replacement,1520.06,Replacement - routine,MECH-4,167010,2025-05-28,7.5
VEH-152,2024-10-05,general_check,209.42,General Check - scheduled,MECH-12,169074,,19.9
VEH-008,2025-10-02,brake_service,1524.94,Brake Service - preventive,MECH-10,180341,2026-09-08,18.9
VEH-118,2025-06-23,oil_change,1134.33,Oil Change - preventive,MECH-13,27581,2026-05-22,13.8
VEH-152,2024-05-25,brake_service,834.18,Brake Service - emergency,MECH-9,117117,,19.4
VEH-275,2024-06-22,repair,134.81,Repair - routine,MECH-8,23532,2024-08-10,15.3
VEH-205,2025-05-01,brake_service,167.84,,MECH-5,110168,2026-03-22,11.9
VEH-093,2026-01-07,repair,116.97,Repair - routine,MECH-20,96355,2026-02-16,18.2
VEH-155,2025-05-25,oil_change,322.84,Oil Change - emergency,MECH-11,38633,2025-12-19,11.4
VEH-216,2025-09-27,brake_service,1782.37,Brake Service - scheduled,MECH-18,42989,2025-12-11,12.0
VEH-293,2024-12-28,replacement,1101.75,Replacement - scheduled,MECH-15,181679,2025-10-22,17.1
VEH-074,2025-10-18,inspection,1296.8,Inspection - preventive,MECH-18,83318,2026-10-12,7.2
VEH-298,2024-04-24,repair,1392.99,Repair - preventive,MECH-4,184007,2024-12-26,13.2
VEH-179,2025-03-16,repair,560.51,Repair - scheduled,MECH-20,71052,2025-04-23,12.6
VEH-289,2026-01-27,repair,625.83,Repair - preventive,MECH-1,195501,2026-04-16,1.5
VEH-198,2024-08-15,replacement,302.23,Replacement - routine,MECH-7,70472,2024-11-10,7.0
VEH-179,2025-03-27,tire_rotation,1527.93,Tire Rotation - routine,MECH-17,95064,,10.8
VEH-156,2024-12-13,inspection,663.78,Inspection - emergency,MECH-1,136881,2025-02-02,10.0
VEH-274,2024-11-05,oil_change,1167.6,Oil Change - preventive,MECH-19,106739,2025-08-05,9.9
VEH-167,2026-03-26,tire_rotation,723.8,Tire Rotation - routine,MECH-14,181090,2026-09-25,17.8
VEH-236,2025-12-15,general_check,929.12,General Check - routine,MECH-8,20235,2026-03-30,13.9
VEH-114,2026-01-30,brake_service,132.36,Brake Service - scheduled,MECH-4,165702,2026-08-20,5.3
VEH-231,2024-04-16,tire_rotation,1655.62,Tire Rotation - routine,MECH-9,181262,2025-02-06,12.2
VEH-136,2025-10-08,inspection,410.77,Inspection - preventive,MECH-13,140177,2026-03-22,13.4
VEH-205,2024-09-16,brake_service,409.77,Brake Service - emergency,MECH-12,136485,2025-08-31,14.5
VEH-078,2024-10-09,general_check,594.99,General Check - routine,MECH-10,74776,2025-03-13,18.7
VEH-179,2025-01-08,brake_service,1424.13,Brake Service - emergency,MECH-5,191719,2025-04-10,18.3
VEH-237,2024-12-15,general_check,657.6,General Check - routine,MECH-10,17606,2025-06-20,22.1
VEH-275,2025-08-20,inspection,893.48,Inspection - routine,MECH-13,35390,2026-05-27,7.2
VEH-097,2026-01-31,general_check,583.36,General Check - scheduled,MECH-13,179963,2026-11-16,3.0
VEH-147,2024-11-29,oil_change,1482.91,Oil Change - preventive,MECH-6,189706,,10.8
VEH-136,2026-03-25,tire_rotation,1080.5,Tire Rotation - scheduled,MECH-16,176088,2026-12-03,17.8
VEH-096,2024-09-10,repair,1362.25,Repair - emergency,MECH-17,182091,2025-05-06,4.8
VEH-071,2025-10-05,general_check,744.15,General Check - routine,MECH-8,197985,,15.0
VEH-118,2024-08-06,replacement,1774.06,Replacement - preventive,MECH-13,78787,2025-04-05,22.9
VEH-175,2024-12-20,repair,1059.22,Repair - emergency,MECH-18,92834,2025-08-31,13.1
VEH-087,2025-11-18,repair,1172.9,Repair - preventive,MECH-15,48281,2026-07-27,14.5
VEH-159,2025-10-06,oil_change,451.67,Oil Change - routine,MECH-14,27724,2026-09-24,15.4
VEH-149,2024-05-18,oil_change,1487.3,Oil Change - routine,MECH-15,45700,2025-04-22,18.5
VEH-286,2024-09-18,repair,1792.8,Repair - emergency,MECH-19,55672,2025-07-28,11.1
VEH-289,2024-10-16,brake_service,770.82,Brake Service - emergency,MECH-4,190794,2025-06-07,1.9
VEH-249,2025-11-27,oil_change,1837.39,Oil Change - preventive,MECH-9,105130,,22.1
VEH-250,2025-10-23,brake_service,643.86,Brake Service - emergency,MECH-5,24413,2025-12-17,13.2
VEH-053,2024-07-20,tire_rotation,1311.49,Tire Rotation - scheduled,MECH-8,26901,2025-07-02,23.9
VEH-114,2025-08-06,repair,1047.96,Repair - scheduled,MECH-10,175838,2026-01-18,6.7
VEH-279,2024-06-13,oil_change,1270.9,,MECH-10,167392,2024-09-08,11.3
VEH-051,2024-12-25,general_check,287.14,General Check - preventive,MECH-13,175022,2025-05-13,12.6
VEH-138,2026-02-02,repair,1796.5,Repair - emergency,MECH-5,109161,2026-08-08,12.1
VEH-249,2024-09-20,repair,520.96,Repair - preventive,MECH-19,18613,2025-03-13,8.5
VEH-121,2025-07-30,oil_change,1139.48,Oil Change - routine,MECH-18,174209,2026-04-29,13.4
VEH-115,2026-03-19,repair,813.11,Repair - preventive,MECH-19,69056,2027-01-24,5.1
VEH-037,2024-12-15,oil_change,1547.5,Oil Change - emergency,MECH-9,54132,2025-06-27,13.6
VEH-001,2025-01-07,oil_change,1045.09,Oil Change - routine,MECH-7,105094,2025-12-01,2.9
VEH-295,2024-09-15,repair,737.58,Repair - preventive,MECH-7,69291,2024-11-24,2.5
VEH-262,2024-05-25,replacement,508.07,Replacement - routine,MECH-9,67571,2025-05-06,2.9
VEH-122,2025-11-21,oil_change,767.44,Oil Change - scheduled,MECH-20,166212,2026-02-13,20.4
VEH-246,2025-09-06,brake_service,1064.65,Brake Service - preventive,MECH-1,125014,2026-08-27,21.7
VEH-250,2024-12-31,oil_change,518.85,Oil Change - preventive,MECH-2,160777,2025-07-31,8.6
VEH-230,2024-11-10,replacement,1348.72,Replacement - preventive,MECH-17,80623,2025-03-13,1.8
VEH-300,2024-10-06,oil_change,873.55,Oil Change - emergency,MECH-20,180106,2025-09-04,12.7
VEH-231,2025-09-12,replacement,1728.98,Replacement - preventive,MECH-4,66235,2026-06-13,15.2
VEH-156,2025-02-19,inspection,356.23,Inspection - scheduled,MECH-12,68710,2025-11-27,23.1
VEH-017,2024-08-10,brake_service,365.72,Brake Service - routine,MECH-4,37520,2024-12-16,11.9
VEH-168,2025-11-17,oil_change,751.21,Oil Change - emergency,MECH-20,24303,,14.5
VEH-131,2024-09-10,inspection,1047.62,Inspection - scheduled,MECH-19,50241,2024-10-26,18.9
VEH-128,2025-02-19,brake_service,170.33,Brake Service - emergency,MECH-9,26553,2025-10-22,4.6
VEH-130,2025-04-21,general_check,616.09,General Check - emergency,MECH-12,48707,2026-01-07,5.8
VEH-085,2026-01-09,oil_change,1677.74,,MECH-13,35857,2026-07-29,23.6
